Country Name,Country Code,Indicator Name,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Haiti,HTI,GDP per capita (current US$),467.1475588,417.762646,396.6338208,332.6147785,391.0346157,468.7572696,508.9688066,619.8127742,678.8447898,672.0369979,665.6274195,744.2174268,769.749381,815.8200152,831.8739489,815.7282844,735.3017703,765.7272943,868.3420248,754.5879177
Hungary,HUN,GDP per capita (current US$),4624.281657,5276.033189,6655.333009,8421.103313,10285.79363,11200.57695,11475.82271,13918.96019,15753.47328,13046.48101,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834,12992.37567,14457.60876,16150.77276,16475.74184
IBRD only,IBD,GDP per capita (current US$),1457.24254,1462.115965,1469.080452,1636.092968,1926.081069,2279.136511,2675.424485,3292.33179,3914.321957,3759.662481,4520.586656,5287.113108,5566.795982,5823.532083,5965.913145,5581.205514,5571.601027,6091.709777,6451.685682,6564.920147
IDA & IBRD total,IBT,GDP per capita (current US$),1239.248535,1237.697866,1245.447989,1382.979187,1621.566275,1909.04944,2236.821762,2732.60977,3238.502622,3103.944674,3707.50905,4311.53819,4528.972274,4736.528497,4851.424618,4537.976928,4503.145178,4885.474243,5153.202106,5227.759059
IDA total,IDA,GDP per capita (current US$),435.3309573,420.3350858,442.0052078,485.3231203,555.4695746,629.8195775,740.90076,847.9122545,992.9410116,954.1464839,1074.340129,1190.507013,1250.498231,1347.43393,1422.525515,1370.73525,1299.267674,1312.725888,1359.696233,1377.49082
IDA blend,IDB,GDP per capita (current US$),572.5584673,558.0220051,601.929914,660.2057649,786.0233961,917.101834,1122.662298,1264.850917,1464.524963,1339.974593,1536.688862,1730.326711,1859.438279,1977.510202,2105.041778,1957.863442,1771.739128,1714.469866,1753.091302,1762.411154
Indonesia,IDN,GDP per capita (current US$),780.190201,748.2576157,900.1775757,1065.648539,1150.261315,1263.287321,1589.801489,1860.002763,2166.854167,2261.247224,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3837.651731,3893.846425,4135.569263
IDA only,IDX,GDP per capita (current US$),364.2078687,348.9971805,359.1548379,394.8401661,436.391052,481.587631,544.0263959,632.767972,750.0322775,757.0900258,836.6672824,911.416819,933.7731072,1019.86625,1066.54824,1066.156944,1057.255824,1110.355797,1162.750266,1185.841859
Isle of Man,IMN,GDP per capita (current US$),20322.94615,21352.21605,24864.43629,29520.0323,35492.43553,37761.03605,42106.80118,54194.98641,70994.40895,65031.33187,69766.52119,77351.95888,76104.68137,80431.6728,88974.22865,81606.28003,79155.54167,80989.17221,,
India,IND,GDP per capita (current US$),443.3141934,451.5730011,470.9867859,546.7266145,627.7742473,714.8610135,806.7532806,1028.334771,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605434,1732.564262,1981.65105,2005.863005,2104.1459
